THEME,STATUS,REF_PER_COLLECT,CCYY,MM,ITEM_P,STAT_VAR,STAT_PRES,STAT_VALUE
CLBM,f,A,2013,1,AGG,PRICE,Raw,64
CLBM,f,A,2013,1,BIT,PRICE,Raw,8770
CLBM,f,A,2013,1,CEMENT,PRICE,Raw,698
CLBM,f,A,2013,1,CONCRETE,PRICE,Raw,70
CLBM,f,A,2013,1,DIESEL_IND,PRICE,Raw,2058
CLBM,f,A,2013,1,DIESEL_RD,PRICE,Raw,1033
CLBM,f,A,2013,1,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,1,GMS_ANGLE,PRICE,Raw,11856
CLBM,f,A,2013,1,GMS_FLAT,PRICE,Raw,9914
CLBM,f,A,2013,1,GMS_PLATE,PRICE,Raw,8814
CLBM,f,A,2013,1,HARDW_SAWN,PRICE,Raw,5654
CLBM,f,A,2013,1,HOMOF_200,PRICE,Raw,154
CLBM,f,A,2013,1,MF_SP,PRICE,Raw,5964
CLBM,f,A,2013,1,MOSAIC_18,PRICE,Raw,104
CLBM,f,A,2013,1,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,1,MOSAIC_45,PRICE,Raw,122
CLBM,f,A,2013,1,PAINT_ACRY,PRICE,Raw,48
CLBM,f,A,2013,1,PAINT_EMUL,PRICE,Raw,51
CLBM,f,A,2013,1,SAND,PRICE,Raw,122
CLBM,f,A,2013,1,SR_HIGH,PRICE,Raw,5611
CLBM,f,A,2013,1,SR_ROUND,PRICE,Raw,6085
CLBM,f,A,2013,1,TF_PLY,PRICE,Raw,72
CLBM,f,A,2013,1,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,1,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,1,WALL_COLOR,PRICE,Raw,391
CLBM,f,A,2013,1,WALL_WHITE,PRICE,Raw,232
CLBM,f,A,2013,2,AGG,PRICE,Raw,64
CLBM,f,A,2013,2,BIT,PRICE,Raw,8770
CLBM,f,A,2013,2,CEMENT,PRICE,Raw,700
CLBM,f,A,2013,2,CONCRETE,PRICE,Raw,70
CLBM,f,A,2013,2,DIESEL_IND,PRICE,Raw,2088
CLBM,f,A,2013,2,DIESEL_RD,PRICE,Raw,1064
CLBM,f,A,2013,2,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,2,GMS_ANGLE,PRICE,Raw,11856
CLBM,f,A,2013,2,GMS_FLAT,PRICE,Raw,9914
CLBM,f,A,2013,2,GMS_PLATE,PRICE,Raw,8814
CLBM,f,A,2013,2,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,2,HOMOF_200,PRICE,Raw,157
