THEME,STATUS,REF_PER_COLLECT,SD_VALUE,CCYY,MM,BASEYEAR,ITEM_P,WAGE,ITEM,STAT_VAR,STAT_PRES,STAT_VALUE,table_Id
"CLBM","f","A","0","2013","1","","AGG","","","PRICE","Raw","64",0
"CLBM","f","A","0","2013","1","","BIT","","","PRICE","Raw","8770",0
"CLBM","f","A","0","2013","1","","CEMENT","","","PRICE","Raw","698",0
"CLBM","f","A","0","2013","1","","CONCRETE","","","PRICE","Raw","70",0
"CLBM","f","A","0","2013","1","","DIESEL_IND","","","PRICE","Raw","2058",0
"CLBM","f","A","0","2013","1","","DIESEL_RD","","","PRICE","Raw","1033",0
"CLBM","f","A","0","2013","1","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","1","","GMS_ANGLE","","","PRICE","Raw","11856",0
"CLBM","f","A","0","2013","1","","GMS_FLAT","","","PRICE","Raw","9914",0
"CLBM","f","A","0","2013","1","","GMS_PLATE","","","PRICE","Raw","8814",0
"CLBM","f","A","0","2013","1","","HARDW_SAWN","","","PRICE","Raw","5654",0
"CLBM","f","A","0","2013","1","","HOMOF_200","","","PRICE","Raw","154",0
"CLBM","f","A","0","2013","1","","MF_SP","","","PRICE","Raw","5964",0
"CLBM","f","A","0","2013","1","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","1","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","1","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","1","","PAINT_ACRY","","","PRICE","Raw","48",0
"CLBM","f","A","0","2013","1","","PAINT_EMUL","","","PRICE","Raw","51",0
"CLBM","f","A","0","2013","1","","SAND","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","1","","SR_HIGH","","","PRICE","Raw","5611",0
"CLBM","f","A","0","2013","1","","SR_ROUND","","","PRICE","Raw","6085",0
"CLBM","f","A","0","2013","1","","TF_PLY","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","1","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","1","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","1","","WALL_COLOR","","","PRICE","Raw","391",0
"CLBM","f","A","0","2013","1","","WALL_WHITE","","","PRICE","Raw","232",0
"CLBM","f","A","0","2013","2","","AGG","","","PRICE","Raw","64",0
"CLBM","f","A","0","2013","2","","BIT","","","PRICE","Raw","8770",0
"CLBM","f","A","0","2013","2","","CEMENT","","","PRICE","Raw","700",0
"CLBM","f","A","0","2013","2","","CONCRETE","","","PRICE","Raw","70",0
"CLBM","f","A","0","2013","2","","DIESEL_IND","","","PRICE","Raw","2088",0
"CLBM","f","A","0","2013","2","","DIESEL_RD","","","PRICE","Raw","1064",0
"CLBM","f","A","0","2013","2","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","2","","GMS_ANGLE","","","PRICE","Raw","11856",0
"CLBM","f","A","0","2013","2","","GMS_FLAT","","","PRICE","Raw","9914",0
"CLBM","f","A","0","2013","2","","GMS_PLATE","","","PRICE","Raw","8814",0
"CLBM","f","A","0","2013","2","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","2","","HOMOF_200","","","PRICE","Raw","157",0
"CLBM","f","A","0","2013","2","","MF_SP","","","PRICE","Raw","5969",0
"CLBM","f","A","0","2013","2","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","2","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","2","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","2","","PAINT_ACRY","","","PRICE","Raw","48",0
"CLBM","f","A","0","2013","2","","PAINT_EMUL","","","PRICE","Raw","51",0
"CLBM","f","A","0","2013","2","","SAND","","","PRICE","Raw","123",0
"CLBM","f","A","0","2013","2","","SR_HIGH","","","PRICE","Raw","5615",0
"CLBM","f","A","0","2013","2","","SR_ROUND","","","PRICE","Raw","6125",0
"CLBM","f","A","0","2013","2","","TF_PLY","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","2","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","2","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","2","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","2","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","3","","AGG","","","PRICE","Raw","65",0
"CLBM","f","A","0","2013","3","","BIT","","","PRICE","Raw","8770",0
"CLBM","f","A","0","2013","3","","CEMENT","","","PRICE","Raw","700",0
"CLBM","f","A","0","2013","3","","CONCRETE","","","PRICE","Raw","70",0
"CLBM","f","A","0","2013","3","","DIESEL_IND","","","PRICE","Raw","2096",0
"CLBM","f","A","0","2013","3","","DIESEL_RD","","","PRICE","Raw","1049",0
"CLBM","f","A","0","2013","3","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","3","","GMS_ANGLE","","","PRICE","Raw","11856",0
"CLBM","f","A","0","2013","3","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","3","","GMS_PLATE","","","PRICE","Raw","8814",0
"CLBM","f","A","0","2013","3","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","3","","HOMOF_200","","","PRICE","Raw","157",0
"CLBM","f","A","0","2013","3","","MF_SP","","","PRICE","Raw","5958",0
"CLBM","f","A","0","2013","3","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","3","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","3","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","3","","PAINT_ACRY","","","PRICE","Raw","48",0
"CLBM","f","A","0","2013","3","","PAINT_EMUL","","","PRICE","Raw","51",0
"CLBM","f","A","0","2013","3","","SAND","","","PRICE","Raw","120",0
"CLBM","f","A","0","2013","3","","SR_HIGH","","","PRICE","Raw","5580",0
"CLBM","f","A","0","2013","3","","SR_ROUND","","","PRICE","Raw","6095",0
"CLBM","f","A","0","2013","3","","TF_PLY","","","PRICE","Raw","73",0
"CLBM","f","A","0","2013","3","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","3","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","3","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","3","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","4","","AGG","","","PRICE","Raw","62",0
"CLBM","f","A","0","2013","4","","BIT","","","PRICE","Raw","8820",0
"CLBM","f","A","0","2013","4","","CEMENT","","","PRICE","Raw","700",0
"CLBM","f","A","0","2013","4","","CONCRETE","","","PRICE","Raw","70",0
"CLBM","f","A","0","2013","4","","DIESEL_IND","","","PRICE","Raw","2060",0
"CLBM","f","A","0","2013","4","","DIESEL_RD","","","PRICE","Raw","1015",0
"CLBM","f","A","0","2013","4","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","4","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","4","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","4","","GMS_PLATE","","","PRICE","Raw","8771",0
"CLBM","f","A","0","2013","4","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","4","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","4","","MF_SP","","","PRICE","Raw","5941",0
"CLBM","f","A","0","2013","4","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","4","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","4","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","4","","PAINT_ACRY","","","PRICE","Raw","48",0
"CLBM","f","A","0","2013","4","","PAINT_EMUL","","","PRICE","Raw","51",0
"CLBM","f","A","0","2013","4","","SAND","","","PRICE","Raw","120",0
"CLBM","f","A","0","2013","4","","SR_HIGH","","","PRICE","Raw","5343",0
"CLBM","f","A","0","2013","4","","SR_ROUND","","","PRICE","Raw","6015",0
"CLBM","f","A","0","2013","4","","TF_PLY","","","PRICE","Raw","74",0
"CLBM","f","A","0","2013","4","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","4","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","4","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","4","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","5","","AGG","","","PRICE","Raw","58",0
"CLBM","f","A","0","2013","5","","BIT","","","PRICE","Raw","8820",0
"CLBM","f","A","0","2013","5","","CEMENT","","","PRICE","Raw","700",0
"CLBM","f","A","0","2013","5","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","5","","DIESEL_IND","","","PRICE","Raw","2050",0
"CLBM","f","A","0","2013","5","","DIESEL_RD","","","PRICE","Raw","1011",0
"CLBM","f","A","0","2013","5","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","5","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","5","","GMS_FLAT","","","PRICE","Raw","10076",0
"CLBM","f","A","0","2013","5","","GMS_PLATE","","","PRICE","Raw","8780",0
"CLBM","f","A","0","2013","5","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","5","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","5","","MF_SP","","","PRICE","Raw","5919",0
"CLBM","f","A","0","2013","5","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","5","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","5","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","5","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","5","","PAINT_EMUL","","","PRICE","Raw","51",0
"CLBM","f","A","0","2013","5","","SAND","","","PRICE","Raw","120",0
"CLBM","f","A","0","2013","5","","SR_HIGH","","","PRICE","Raw","5226",0
"CLBM","f","A","0","2013","5","","SR_ROUND","","","PRICE","Raw","5958",0
"CLBM","f","A","0","2013","5","","TF_PLY","","","PRICE","Raw","74",0
"CLBM","f","A","0","2013","5","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","5","","UPVC_32","","","PRICE","Raw","56",0
"CLBM","f","A","0","2013","5","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","5","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","6","","AGG","","","PRICE","Raw","60",0
"CLBM","f","A","0","2013","6","","BIT","","","PRICE","Raw","8803",0
"CLBM","f","A","0","2013","6","","CEMENT","","","PRICE","Raw","700",0
"CLBM","f","A","0","2013","6","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","6","","DIESEL_IND","","","PRICE","Raw","2075",0
"CLBM","f","A","0","2013","6","","DIESEL_RD","","","PRICE","Raw","1030",0
"CLBM","f","A","0","2013","6","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","6","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","6","","GMS_FLAT","","","PRICE","Raw","10076",0
"CLBM","f","A","0","2013","6","","GMS_PLATE","","","PRICE","Raw","8773",0
"CLBM","f","A","0","2013","6","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","6","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","6","","MF_SP","","","PRICE","Raw","5848",0
"CLBM","f","A","0","2013","6","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","6","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","6","","MOSAIC_45","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","6","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","6","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2013","6","","SAND","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","6","","SR_HIGH","","","PRICE","Raw","5099",0
"CLBM","f","A","0","2013","6","","SR_ROUND","","","PRICE","Raw","5870",0
"CLBM","f","A","0","2013","6","","TF_PLY","","","PRICE","Raw","74",0
"CLBM","f","A","0","2013","6","","TF_SAWN","","","PRICE","Raw","3814",0
"CLBM","f","A","0","2013","6","","UPVC_32","","","PRICE","Raw","57",0
"CLBM","f","A","0","2013","6","","WALL_COLOR","","","PRICE","Raw","398",0
"CLBM","f","A","0","2013","6","","WALL_WHITE","","","PRICE","Raw","233",0
"CLBM","f","A","0","2013","7","","AGG","","","PRICE","Raw","58",0
"CLBM","f","A","0","2013","7","","BIT","","","PRICE","Raw","8770",0
"CLBM","f","A","0","2013","7","","CEMENT","","","PRICE","Raw","698",0
"CLBM","f","A","0","2013","7","","CONCRETE","","","PRICE","Raw","72",0
"CLBM","f","A","0","2013","7","","DIESEL_IND","","","PRICE","Raw","2092",0
"CLBM","f","A","0","2013","7","","DIESEL_RD","","","PRICE","Raw","1047",0
"CLBM","f","A","0","2013","7","","GLASS_SH","","","PRICE","Raw","151",0
"CLBM","f","A","0","2013","7","","GMS_ANGLE","","","PRICE","Raw","11823",0
"CLBM","f","A","0","2013","7","","GMS_FLAT","","","PRICE","Raw","10131",0
"CLBM","f","A","0","2013","7","","GMS_PLATE","","","PRICE","Raw","8783",0
"CLBM","f","A","0","2013","7","","HARDW_SAWN","","","PRICE","Raw","5502",0
"CLBM","f","A","0","2013","7","","HOMOF_200","","","PRICE","Raw","158",0
"CLBM","f","A","0","2013","7","","MF_SP","","","PRICE","Raw","5817",0
"CLBM","f","A","0","2013","7","","MOSAIC_18","","","PRICE","Raw","104",0
"CLBM","f","A","0","2013","7","","MOSAIC_25","","","PRICE","Raw","50",0
"CLBM","f","A","0","2013","7","","MOSAIC_45","","","PRICE","Raw","129",0
"CLBM","f","A","0","2013","7","","PAINT_ACRY","","","PRICE","Raw","49",0
"CLBM","f","A","0","2013","7","","PAINT_EMUL","","","PRICE","Raw","52",0
"CLBM","f","A","0","2013","7","","SAND","","","PRICE","Raw","122",0
"CLBM","f","A","0","2013","7","","SR_HIGH","","","PRICE","Raw","5169",0
