TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,LPS_Id
KE,18,5418800028,Garden 51,"24/F., CODA PLAZA, 51 GARDEN ROAD, CENTRAL, HONG KONG",,2019-09-06,0
KE,18,5418800037,Garden 51,"23/F., CODA PLAZA, 51 GARDEN ROAD, CENTRAL, HONG KONG",,2018-04-12,0
KE,52,4452800108,BIG ECHO I-BOX,"G/F, ENTRANCE & 1/F, PEACE TOWER, NO. 6 PEACE AVENUE, KOWLOON",,2017-11-21,0
KE,52,5452800055,Neway Karaoke Box,"SHOPS 6-7 AND 1/F, PRINCE RITZ, 440-450 PRINCE EDWARD ROAD WEST, KOWLOON CITY, KOWLOON",,2019-10-06,0
KE,62,5462800021,Neway Karaoke Box,"SHOP NO. 505, LEVEL 5, MOKO, 193 PRINCE EDWARD ROAD WEST, MONG KOK, KOWLOON",,2018-07-06,0
KE,62,5462800100,Jackpot Night Club,"1/F, MEE CHEONG BUILDING, 141, 143& 145 PORTLAND STREET, KOWLOON",,2019-02-04,0
KE,62,5462800119,Neway Karaoke Box,"11/F & 12/F, CHONG HING SQUARE, 593-601 NATHAN ROAD, MONG KOK, KOWLOON",,2019-03-05,0
KE,62,5462800137,NEW BRILLIANT KARAOKE NIGHT CLUB,"4/F, SUN HING BUILDING, 607 NATHAN ROAD, MONG KOK, KOWLOON",,2018-08-16,0
KE,62,5462800146,金麗宮卡拉OK夜總會,"2/F, 7 CHANG SHA STREET, MONG KOK, KOWLOON",,2018-11-14,0
KE,62,5462800164,ASIA & CENTURY KARAOKE NIGHT CLUB,"6/F TO 7/F, SUN HING BUILDING, 607 NATHAN ROAD, MONG KOK, KOWLOON",,2017-11-03,0
KE,62,5462800173,NEW CITY KARAOKE NIGHT CLUB,"224 (G/F) & 208-228 (1/F), TONG MI ROAD, TAI KOK TSUI, MONG KOK, KOWLOON",,2018-05-22,0
KE,62,5462800182,Red Mr. Ktv,"SHOP OR NON-DOMESTIC PREMISES ON 3/F & 4/F, FAR EAST BANK MONGKOK BUILDING, 11 NELSON STREET, MONG KOK, KOWLOON",,2019-01-09,0
KE,62,5462800191,RED MR,"PORTION 3A OF SHOP OR NON-DOMESTIC PREMISES ON 3/F, FAR EAST BANK MONGKOK BUILDING, 11 NELSON STREET, KOWLOON",,2018-02-06,0
KE,62,5462800207,NEW A GOLDEN ROSE KARAOKE NIGHT CLUB,"2/F, MANLY COMMERCIAL BLDG, 11-17 SOY STREET, MONG KOK, KOWLOON",,2019-09-26,0
KE,61,4461800636,GOLD LAI SHING,"1/F, 497-497A NATHAN ROAD, YAU MA TEI, KOWLOON",,2018-03-28,0
KE,61,5461000040,Neway Karaoke Box,"PTN A, B, C1 & C2, 1ST BASEMENT, AUTO PLAZA, 65 MODY ROAD, TSIM SHA TSUI EAST, KOWLOON",,2018-12-15,0
KE,61,5461000059,CLUB CRYSTALLITIC,"SHOP NOS. B201-B210, B211-B216 & B232-B235, 2ND BASEMENT, REGAL KOWLOON HOTEL, 71 MODY ROAD, TSIM SHA TSUI, KOWLOON",,2019-01-19,0
KE,61,5461000110,Hanabi,"SHOP NO. 1-3, UG/F, ENERGY PLAZA, 92 GRANVILLE ROAD, TSIM SHA TSUI EAST, KOWLOON",,2019-06-27,0
KE,61,5461000174,Vision,"1/F, CAMBRIDGE HOUSE, 26-28 CAMERON ROAD, TSIM SHA TSUI, KOWLOON",,2017-11-28,0
KE,61,5461000183,CHOCOLATE,"1/F, CHINACHEM CAMERON CENTRE, 42-44 CAMERON ROAD, TSIM SHA TSUI, KOWLOON",,2017-12-05,0
KE,61,5461800060,MUSE,"3/F, GOLDEN DRAGON CENTRE, 38-40 CAMERON ROAD, TSIM SHA TSUI, KOWLOON",,2018-07-02,0
KE,61,5461800088,NOBLE,"3/F, PODIUM PLAZA, 5-7B HANOI ROAD, TSIM SHA TSUI, KOWLOON",,2018-09-19,0
KE,61,5461800112,Club Star,"UNIT 1, 2, 13-15, 3/F, HOUSTON CENTRE, 63 MODY ROAD, KOWLOON",,2019-04-02,0
KE,61,5461800121,玉寶酒廊,"SHOP 2-6, 1/F, HARBOUR CRYSTAL CENTRE, 100 GRANVILLE ROAD, TSIM SHA TSUI, KOWLOON",,2019-07-26,0
KE,61,5461800176,Y. B II,"SHOP 16-19, 1/F, HARBOUR CRYSTAL CENTRE, 100 GRANVILLE ROAD, TSIM SHA TSUI, KOWLOON",,2017-12-18,0
KE,61,5461800185,舞臺,"SHOPS B1, B3 & B4, 2/F, NEW MANDARIN PLAZA, 14 SCIENCE MUSEUM ROAD, TSIM SHA TSUI, KOWLOON",,2018-01-10,0
KE,61,5461800194,SECRET,"SHOP 8-10, BASEMENT 1, ENERGY PLAZA, 92 GRANVILLE ROAD, TSIM SHA TSUI EAST, KOWLOON",,2018-01-14,0
